date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
2018-01-03,9,GROATS_RICE_PASTA,MAKA WROCLAWSKA ZLOTY LAN TYP 500 1KG,5,1.21,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKA ZIEMNIACZANA 1KG,1,3.34,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKA ZIEMNIACZANA 500G NIECHLOW,3,1.52,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON ABAK BABUNI 250G 2 JAJ,6,1.57,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON CZANIECKI 250 G NITECZKA WALCOW,9,2.39,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON CZANIECKI 250G SWOJSKI,50,1.9944,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON CZANIECKI GNIAZDKO 2,9,3.98444444444444,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON CZANIECKI NITKA WALCOWANA 500G,1,3.98,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON CZANIECKI RYZOWY 250 G,13,2.28923076923077,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON GOLIARD 400G NITKA,3,2.4,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON IRWEGA 500G KOLANKO,2,1.59,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON LUBELLA  KOLANKO OZDOBNE 500G,2,2.43,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON POL MLYN 500 G NITKA DURUM,2,3,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON SARITA SWIDEREK 400G,5,2,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON SPAGHETI 400G SULMA,8,1.49375,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON SULMA GNIAZDKA 400G,1,2.02,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MAKARON SULMA LAZANKA 500 G,6,2.59,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,MUSZTARDA DEVELEY 210 G SAREPSKA,2,0.92,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,ORZESZKI SOLONE 40 G,7,0.72,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,ROGAL 7 DAYS ORZECH,1,0.99,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,RYZ BRAZOWY 4*100G SARITA,2,1.66,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,RYZ SARITA BIALY DLUGOZIAR. 4x100G KAR,3,1.4,0.165,-4.03,1,2,73.23
