,date,sku,group,name,quantity,unit_cogs,agg_cogs,unit_revenue,gross_margin,sunrise,sunset,HeatIndexC,cloudcover,humidity,tempC,Avgtemp
31,2018-01-01,14208,BREAD,B ROGAL MLECZNY 0_1KG,34.0,"0,99",33.66,1.25,20.8,08:52 AM,04:31 PM,6,79,89,8,5.5
32,2018-01-01,13413,BREAD,B ROGALE/GNIAZDO SMIET/EKLER/OMLET,160.0,"1,64",262.0,1.82,9.98,08:52 AM,04:31 PM,6,79,89,8,5.5
33,2018-01-01,7926,BREAD,B SERNIK/PIANKI/ROGALE Z MAKIEM,1.15,"22,56",25.9,29.43,23.35,08:52 AM,04:31 PM,6,79,89,8,5.5
34,2018-01-01,2911,DAIRY_CHESSE,BAKOMA 7 ZBOZ SLIWKA 150GR,6.0,"1,39",8.34,1.73,19.42,08:52 AM,04:31 PM,6,79,89,8,5.5
35,2018-01-01,12547,DAIRY_CHESSE,BAKOMA BAKUS DO KIESZONKI TRUSKAW.,3.0,"1,57",4.71,2.18,27.98,08:52 AM,04:31 PM,6,79,89,8,5.5
36,2018-01-01,12548,DAIRY_CHESSE,BAKOMA BAKUS DO KIESZONKI WANIL.,3.0,"1,57",4.71,2.18,27.98,08:52 AM,04:31 PM,6,79,89,8,5.5
37,2018-01-01,2913,DAIRY_CHESSE,BAKOMA GRECKI 180GR,9.0,"1,63",14.67,2.03,19.88,08:52 AM,04:31 PM,6,79,89,8,5.5
38,2018-01-01,15795,DAIRY_CHESSE,BAKOMA OLEJ RZEPAKOWY,9.0,"4,44",39.96,5.61,20.86,08:52 AM,04:31 PM,6,79,89,8,5.5
39,2018-01-01,6467,DAIRY_CHESSE,BAKOMA POLSKIE SMAKI  WISNIA 120 G,5.0,"0,6",3.0,0.48,-26.05,08:52 AM,04:31 PM,6,79,89,8,5.5
40,2018-01-01,2914,DAIRY_CHESSE,BAKOMA POLSKIE SMAKI130GR TRUSK,8.0,"0,76",6.08,0.8,5.0,08:52 AM,04:31 PM,6,79,89,8,5.5
41,2018-01-01,19287,DAIRY_CHESSE,BAKOMA PREMIUM 150 G BRZOS+MARAKUJ,6.0,"1,43",8.58,1.61,11.18,08:52 AM,04:31 PM,6,79,89,8,5.5
42,2018-01-01,8152,DAIRY_CHESSE,BAKOMA SATINA  KARMEL 170 G,7.0,"1,18",8.26,1.06,-11.17,08:52 AM,04:31 PM,6,79,89,8,5.5
43,2018-01-01,12150,DAIRY_CHESSE,BAKOMA SATINA CZEKOL.170 G,13.0,"1,18",15.34,1.47,19.52,08:52 AM,04:31 PM,6,79,89,8,5.5
44,2018-01-01,8554,DAIRY_CHESSE,BAKOMA SATINA WANILIA 170 G,3.0,"1,18",3.54,1.43,17.29,08:52 AM,04:31 PM,6,79,89,8,5.5
45,2018-01-01,8681,DAIRY_CHESSE,BAKOMA SEREK BAKUS WANILIA,8.0,"1,18",9.44,1.61,26.71,08:52 AM,04:31 PM,6,79,89,8,5.5
46,2018-01-01,7625,DAIRY_CHESSE,BAKOMA SMIETANKA 10 SZT,5.0,"1,48",7.4,1.9,22.11,08:52 AM,04:31 PM,6,79,89,8,5.5
47,2018-01-01,12320,DAIRY_CHESSE,BAKOMA TWIST  400G BRZOS,2.0,"2,31",4.62,1.48,-56.08,08:52 AM,04:31 PM,6,79,89,8,5.5
48,2018-01-01,7435,DAIRY_CHESSE,BAKOMA TWIST 250 G TRUSKAWKA,6.0,"1,72",10.32,2.22,22.35,08:52 AM,04:31 PM,6,79,89,8,5.5
49,2018-01-01,1088,GENERAL_FOOD,BAKOMA TWIST 400 G ZURAWIN,6.0,"2,42",14.52,2.28,-6.14,08:52 AM,04:31 PM,6,79,89,8,5.5
50,2018-01-01,16645,ICE_CREAMS_FROZEN,BARSZCZ UKRAINSKI 450G NORDIS,1.0,"1,97",1.97,2.85,30.88,08:52 AM,04:31 PM,6,79,89,8,5.5
51,2018-01-01,6580,GENERAL,BATERIA 44 R3 MAXELL,21.0,"0,96",20.16,1.18,18.64,08:52 AM,04:31 PM,6,79,89,8,5.5
52,2018-01-01,6208,OCCASIONAL,BATERIA AA WARTA R6 1 SZT,4.0,"0,96",3.84,1.46,34.25,08:52 AM,04:31 PM,6,79,89,8,5.5
53,2018-01-01,2560,CHEMISTRY,BATERIA GP PLASKA 3R12 4_5V  312GR,1.0,"2,71",2.71,4.25,36.24,08:52 AM,04:31 PM,6,79,89,8,5.5
54,2018-01-01,5156,CHEMISTRY,BATERIA R6 AA,44.0,"0,78",34.32,1.28,38.85,08:52 AM,04:31 PM,6,79,89,8,5.5
55,2018-01-01,18200,OCCASIONAL,BATERIA VARTA LR3 LONGLIFE 1 SZT,6.0,"0,93",5.58,1.46,36.3,08:52 AM,04:31 PM,6,79,89,8,5.5
56,2018-01-01,17409,OCCASIONAL,BATERIE ALKAICZ  LR 3,4.0,"0,93",3.72,1.48,37.16,08:52 AM,04:31 PM,6,79,89,8,5.5
57,2018-01-01,17408,OCCASIONAL,BATERIE ALKAICZ R6,31.0,"0,93",28.83,1.46,36.3,08:52 AM,04:31 PM,6,79,89,8,5.5
58,2018-01-01,5429,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,BATON 3BIT 46/51 G,30.0,"0,92",27.6,1.5,38.67,08:52 AM,04:31 PM,6,79,89,8,5.5
59,2018-01-01,9462,SWEETS,BATON 7DAYS KAKAO W POLEWIE,3.0,"0,55",1.65,0.97,43.3,08:52 AM,04:31 PM,6,79,89,8,5.5
